region_code,veiculos_danificados_regiao,total_veiculos_regiao,pct_damage_region
0.0,949,1600,59
1.0,504,817,61
2.0,1451,3221,45
3.0,3514,7359,47
4.0,814,1487,54
5.0,583,1017,57
6.0,1448,5038,28
7.0,1459,2642,55
8.0,12474,27102,46
9.0,1188,2439,48
10.0,1109,3490,31
11.0,2616,7370,35
12.0,1097,2550,43
13.0,1509,3255,46
14.0,1343,3719,36
15.0,4695,10708,43
16.0,698,1614,43
17.0,829,2109,39
18.0,1794,4121,43
19.0,747,1214,61
20.0,986,1572,62
21.0,1036,3420,30
22.0,455,1016,44
23.0,819,1565,52
24.0,1128,1949,57
25.0,718,2014,35
26.0,1158,2090,55
27.0,1122,2271,49
28.0,56028,85023,65
29.0,3316,8837,37
30.0,3107,9799,31
31.0,885,1555,56
32.0,995,2241,44
33.0,2529,6096,41
34.0,711,1334,53
35.0,2323,5578,41
36.0,3095,6982,44
37.0,2209,4392,50
38.0,1041,1609,64
39.0,2103,3739,56
40.0,634,1049,60
41.0,6075,14578,41
42.0,253,480,52
43.0,1082,2096,51
44.0,243,636,38
45.0,2137,4470,47
46.0,7096,15844,44
47.0,3097,5941,52
48.0,2257,3745,60
49.0,814,1470,55
50.0,3409,8273,41
51.0,75,140,53
52.0,105,211,49
